BookingReference,Created Date,Reference,Attendee Status,Attended,Event Code
B767403,07/10/2019,A831033,Attending,No,D19
B767406,07/10/2019,A831036,Attending,Yes,D19
B767408,07/10/2019,A831038,Attending,Yes,D19
B767414,07/10/2019,A831044,Cancelled,,D19
B767416,07/10/2019,A831046,Attending,Yes,D19
B767832,08/10/2019,A831481,Attending,Yes,D19
B767849,08/10/2019,A831504,Attending,No,D19
B767865,08/10/2019,A831523,Attending,Yes,D19
B768296,09/10/2019,A831980,Attending,Yes,D19
B768297,09/10/2019,A831981,Attending,Yes,D19
B768300,09/10/2019,A831984,Attending,Yes,D19
B768301,09/10/2019,A831985,Attending,Yes,D19
B768303,09/10/2019,A831987,Cancelled,,D19
B768305,09/10/2019,A831989,Attending,No,D19
B768323,09/10/2019,A832007,Attending,No,D19
B768324,09/10/2019,A832008,Attending,No,D19
B768325,09/10/2019,A832009,Attending,No,D19
B768327,09/10/2019,A832011,Cancelled,,D19
B768328,09/10/2019,A832012,Attending,No,D19
B768353,09/10/2019,A832037,Attending,No,D19
B768356,09/10/2019,A832040,Attending,Yes,D19
B768358,09/10/2019,A832042,Cancelled,,D19
B768908,10/10/2019,A832614,Attending,Yes,D19
B768914,10/10/2019,A832620,Attending,Yes,D19
B768918,10/10/2019,A832624,Attending,Yes,D19
B768921,10/10/2019,A832627,Attending,Yes,D19
B768922,10/10/2019,A832628,Attending,No,D19
B769502,11/10/2019,A833219,Attending,Yes,D19
B769504,11/10/2019,A833221,Attending,No,D19
B769506,11/10/2019,A833223,Attending,No,D19
B769507,11/10/2019,A833224,Attending,No,D19
B769541,11/10/2019,A833258,Attending,Yes,D19
B769544,11/10/2019,A833261,Attending,Yes,D19
B770436,14/10/2019,A834159,Cancelled,,D19
B770437,14/10/2019,A834160,Attending,No,D19
B770440,14/10/2019,A834163,Attending,No,D19
B770441,14/10/2019,A834164,Attending,Yes,D19
B770444,14/10/2019,A834167,Cancelled,,D19
B770446,14/10/2019,A834169,Attending,Yes,D19
B770451,14/10/2019,A834174,Attending,No,D19
B770452,14/10/2019,A834175,Cancelled,,D19
B770455,14/10/2019,A834178,Cancelled,,D19
B770456,14/10/2019,A834179,Attending,Yes,D19
B770459,14/10/2019,A834182,Attending,No,D19
B770461,14/10/2019,A834184,Attending,No,D19
B770606,14/10/2019,A834354,Attending,No,D19
B770609,14/10/2019,A834360,Attending,No,D19
B770930,15/10/2019,A834687,Attending,Yes,D19
B770982,15/10/2019,A834739,Attending,Yes,D19
B770994,15/10/2019,A834751,Attending,Yes,D19
B770994,15/10/2019,A834752,Attending,Yes,D19
B771065,15/10/2019,A834825,Attending,Yes,D19
B771067,15/10/2019,A834827,Cancelled,,D19
B771069,15/10/2019,A834829,Attending,Yes,D19
B771073,15/10/2019,A834833,Attending,No,D19
B771074,15/10/2019,A834834,Attending,Yes,D19
B771076,15/10/2019,A834836,Cancelled,,D19
B771079,15/10/2019,A834840,Attending,,D19
B771079,15/10/2019,A834841,Attending,,D19
B771079,15/10/2019,A834842,Attending,,D19
B771079,15/10/2019,A834843,Attending,,D19
B771282,16/10/2019,A835046,Attending,Yes,D19
B771285,16/10/2019,A835049,Attending,Yes,D19
B771286,16/10/2019,A835050,Attending,Yes,D19
B771288,16/10/2019,A835052,Attending,No,D19
B771290,16/10/2019,A835054,Attending,No,D19
B771369,16/10/2019,A835134,Attending,No,D19
B771372,16/10/2019,A835137,Attending,No,D19
B771447,16/10/2019,A835213,Attending,Yes,D19
B771449,16/10/2019,A835215,Attending,Yes,D19
B771450,16/10/2019,A835216,Attending,Yes,D19
B771513,16/10/2019,A835280,Attending,Yes,D19
B771559,16/10/2019,A835326,Attending,Yes,D19
B771574,16/10/2019,A835341,Attending,Yes,D19
B771876,17/10/2019,A835645,Attending,Yes,D19
B771877,17/10/2019,A835646,Attending,Yes,D19
B771880,17/10/2019,A835649,Attending,No,D19
B771891,17/10/2019,A835660,Attending,Yes,D19
B771922,17/10/2019,A835691,Attending,Yes,D19
B772210,18/10/2019,A835980,Attending,Yes,D19
B772210,23/10/2019,A838226,Attending,Yes,D19
B772332,18/10/2019,A836105,Attending,Yes,D19
B772335,18/10/2019,A836108,Attending,Yes,D19
B772339,18/10/2019,A836112,Attending,No,D19
B772345,18/10/2019,A836118,Attending,Yes,D19
B773130,21/10/2019,A836909,Attending,Yes,D19
B773133,21/10/2019,A836912,Attending,Yes,D19
B773146,21/10/2019,A836925,Cancelled,,D19
B773148,21/10/2019,A836927,Attending,Yes,D19
B773150,21/10/2019,A836929,Attending,Yes,D19
B773165,21/10/2019,A836946,Attending,Yes,D19
B773165,21/10/2019,A836947,Attending,Yes,D19
B773165,21/10/2019,A836948,Attending,Yes,D19
B773165,21/10/2019,A836949,Attending,Yes,D19
B773172,21/10/2019,A836958,Attending,Yes,D19
B773172,21/10/2019,A836959,Attending,Yes,D19
B773172,21/10/2019,A836960,Attending,Yes,D19
B773173,21/10/2019,A836961,Attending,Yes,D19
B773175,21/10/2019,A836963,Attending,Yes,D19
B773204,21/10/2019,A836993,Attending,Yes,D19
B773204,21/10/2019,A836994,Attending,Yes,D19
B773204,21/10/2019,A836995,Attending,Yes,D19
B773204,21/10/2019,A836996,Attending,Yes,D19
B773204,18/11/2019,A855119,Attending,Yes,D19
B773209,21/10/2019,A837001,Attending,Yes,D19
B773209,21/10/2019,A837002,Attending,Yes,D19
B773212,21/10/2019,A837005,Attending,Yes,D19
B773212,21/10/2019,A837006,Attending,Yes,D19
B773212,21/10/2019,A837007,Attending,Yes,D19
B773217,21/10/2019,A837012,Attending,Yes,D19
B773217,21/10/2019,A837013,Attending,Yes,D19
B773297,21/10/2019,A837093,Attending,Yes,D19
B773339,21/10/2019,A837135,Attending,Yes,D19
B773691,22/10/2019,A837489,Attending,Yes,D19
B773692,22/10/2019,A837490,Attending,Yes,D19
B773696,22/10/2019,A837494,Attending,Yes,D19
B773716,22/10/2019,A837514,Attending,Yes,D19
B773764,22/10/2019,A837563,Attending,No,D19
B773765,22/10/2019,A837564,Attending,Yes,D19
B773878,22/10/2019,A837681,Attending,Yes,D19
B773881,22/10/2019,A837684,Attending,Yes,D19
B773900,22/10/2019,A837703,Attending,No,D19
B773901,22/10/2019,A837704,Attending,No,D19
B773928,22/10/2019,A837731,Attending,No,D19
B773932,22/10/2019,A837735,Cancelled,,D19
B773942,22/10/2019,A837745,Attending,No,D19
B773947,22/10/2019,A837750,Attending,Yes,D19
B773950,22/10/2019,A837753,Attending,Yes,D19
B773952,22/10/2019,A837755,Attending,Yes,D19
B774198,23/10/2019,A838003,Attending,Yes,D19
B774203,23/10/2019,A838008,Attending,No,D19
B774207,23/10/2019,A838012,Attending,Yes,D19
B774208,23/10/2019,A838013,Attending,Yes,D19
B774210,23/10/2019,A838015,Attending,Yes,D19
B774212,23/10/2019,A838019,Attending,Yes,D19
B774212,08/11/2019,A847262,Attending,Yes,D19
B774327,23/10/2019,A838135,Attending,Yes,D19
B774328,23/10/2019,A838136,Attending,Yes,D19
B774388,23/10/2019,A838200,Attending,Yes,D19
B774388,23/10/2019,A838201,Attending,Yes,D19
B774389,23/10/2019,A838202,Attending,Yes,D19
B774389,23/10/2019,A838203,Attending,Yes,D19
B774390,23/10/2019,A838204,Attending,Yes,D19
B774390,23/10/2019,A838205,Attending,Yes,D19
B774390,23/10/2019,A838206,Attending,Yes,D19
B774411,23/10/2019,A838230,Attending,Yes,D19
B774411,23/10/2019,A838231,Attending,Yes,D19
B774414,23/10/2019,A838234,Attending,Yes,D19
B774414,23/10/2019,A838235,Attending,Yes,D19
B774429,23/10/2019,A838250,Attending,Yes,D19
B774431,23/10/2019,A838252,Attending,Yes,D19
B776715,24/10/2019,A840537,Attending,No,D19
B776838,24/10/2019,A840661,Attending,Yes,D19
B776839,24/10/2019,A840662,Attending,Yes,D19
B776840,24/10/2019,A840663,Attending,Yes,D19
B777165,25/10/2019,A840992,Attending,Yes,D19
B777166,25/10/2019,A840993,Attending,Yes,D19
B777167,25/10/2019,A840994,Attending,Yes,D19
B777230,25/10/2019,A841059,Attending,Yes,D19
B777231,25/10/2019,A841060,Attending,Yes,D19
B777231,25/10/2019,A841062,Attending,Yes,D19
B777234,25/10/2019,A841064,Attending,Yes,D19
B777234,25/10/2019,A841065,Attending,Yes,D19
B777234,28/10/2019,A841823,Attending,Yes,D19
B777237,25/10/2019,A841068,Attending,Yes,D19
B777237,25/10/2019,A841069,Attending,Yes,D19
B777237,25/10/2019,A841070,Attending,Yes,D19
B777237,25/10/2019,A841071,Attending,Yes,D19
B777240,25/10/2019,A841075,Attending,Yes,D19
B777240,25/10/2019,A841076,Attending,Yes,D19
B777240,25/10/2019,A841077,Attending,Yes,D19
B777242,25/10/2019,A841079,Attending,Yes,D19
B777242,25/10/2019,A841080,Attending,Yes,D19
B777244,25/10/2019,A841082,Attending,Yes,D19
B777244,25/10/2019,A841083,Attending,Yes,D19
B777244,25/10/2019,A841084,Attending,Yes,D19
B777267,25/10/2019,A841107,Attending,Yes,D19
B777267,25/10/2019,A841108,Attending,Yes,D19
B777267,25/10/2019,A841109,Attending,Yes,D19
B777269,25/10/2019,A841111,Attending,Yes,D19
B777272,25/10/2019,A841115,Attending,Yes,D19
B777272,25/10/2019,A841116,Attending,Yes,D19
B777272,25/10/2019,A841117,Attending,Yes,D19
B777272,25/10/2019,A841118,Attending,Yes,D19
B777272,15/11/2019,A854281,Attending,Yes,D19
B777286,25/10/2019,A841132,Attending,Yes,D19
B777287,25/10/2019,A841133,Attending,Yes,D19
B777293,25/10/2019,A841139,Attending,Yes,D19
B777293,25/10/2019,A841140,Attending,Yes,D19
B777293,25/10/2019,A841141,Attending,Yes,D19
B777293,25/10/2019,A841142,Attending,Yes,D19
B777940,28/10/2019,A841798,Attending,No,D19
B777996,28/10/2019,A841856,Attending,Yes,D19
B777998,28/10/2019,A841858,Attending,Yes,D19
B778038,28/10/2019,A841898,Attending,Yes,D19
B778038,28/10/2019,A841899,Attending,Yes,D19
B778038,28/10/2019,A841900,Attending,Yes,D19
B778038,28/10/2019,A841901,Attending,Yes,D19
B778041,28/10/2019,A841904,Attending,Yes,D19
B778041,28/10/2019,A841905,Attending,Yes,D19
B778044,28/10/2019,A841908,Attending,No,D19
B778048,28/10/2019,A841912,Attending,Yes,D19
B778048,28/10/2019,A841913,Attending,Yes,D19
B778048,28/10/2019,A841914,Attending,Yes,D19
B778048,28/10/2019,A841915,Attending,Yes,D19
B778074,28/10/2019,A841941,Attending,Yes,D19
B778081,28/10/2019,A841948,Attending,Yes,D19
B778177,28/10/2019,A842055,Attending,No,D19
B778371,29/10/2019,A842261,Attending,Yes,D19
B778375,29/10/2019,A842266,Attending,Yes,D19
B778391,29/10/2019,A842289,Attending,Yes,D19
B778562,29/10/2019,A842468,Attending,Yes,D19
B778562,29/10/2019,A842469,Attending,Yes,D19
B778562,29/10/2019,A842470,Attending,Yes,D19
B778568,29/10/2019,A842476,Attending,Yes,D19
B778568,29/10/2019,A842477,Attending,Yes,D19
B778568,29/10/2019,A842478,Attending,Yes,D19
B778574,29/10/2019,A842484,Attending,Yes,D19
B778574,29/10/2019,A842485,Cancelled,,D19
B778574,29/10/2019,A842486,Attending,Yes,D19
B778574,29/10/2019,A842487,Attending,Yes,D19
B778574,29/10/2019,A842488,Attending,Yes,D19
B778574,29/10/2019,A842489,Attending,Yes,D19
B778574,29/10/2019,A842490,Attending,Yes,D19
B778834,30/10/2019,A842753,Attending,Yes,D19
B778888,30/10/2019,A842808,Attending,No,D19
B778891,30/10/2019,A842811,Attending,Yes,D19
B778893,30/10/2019,A842813,Attending,No,D19
B778894,30/10/2019,A842814,Cancelled,,D19
B778899,30/10/2019,A842819,Attending,Yes,D19
B778902,30/10/2019,A842822,Attending,No,D19
B778903,30/10/2019,A842823,Attending,No,D19
B778907,30/10/2019,A842827,Attending,No,D19
B778908,30/10/2019,A842828,Attending,Yes,D19
B778913,30/10/2019,A842833,Attending,Yes,D19
B778913,31/10/2019,A843600,Attending,Yes,D19
B778913,05/11/2019,A845772,Attending,Yes,D19
B778989,30/10/2019,A842910,Attending,Yes,D19
B778991,30/10/2019,A842912,Attending,Yes,D19
B779047,30/10/2019,A842970,Cancelled,,D19
B779049,30/10/2019,A842972,Attending,No,D19
B779076,30/10/2019,A842999,Cancelled,Yes,D19
B779122,30/10/2019,A843047,Attending,No,D19
B779610,31/10/2019,A843580,Attending,Yes,D19
B779616,31/10/2019,A843586,Attending,Yes,D19
B779617,31/10/2019,A843587,Attending,No,D19
B779619,31/10/2019,A843589,Attending,Yes,D19
B779620,31/10/2019,A843590,Attending,No,D19
B779621,31/10/2019,A843591,Attending,No,D19
B779622,31/10/2019,A843592,Cancelled,,D19
B779624,31/10/2019,A843594,Attending,No,D19
B779627,31/10/2019,A843597,Attending,No,D19
B779652,31/10/2019,A843624,Attending,Yes,D19
B779664,31/10/2019,A843636,Attending,Yes,D19
B779717,31/10/2019,A843692,Attending,Yes,D19
B779720,31/10/2019,A843695,Attending,Yes,D19
B779789,31/10/2019,A843770,Attending,Yes,D19
B779797,31/10/2019,A843778,Attending,Yes,D19
B779968,01/11/2019,A843958,Attending,Yes,D19
B780989,04/11/2019,A844992,Attending,Yes,D19
B780992,04/11/2019,A844995,Attending,Yes,D19
B781037,04/11/2019,A845040,Attending,No,D19
B781071,04/11/2019,A845074,Attending,Yes,D19
B781074,04/11/2019,A845077,Attending,Yes,D19
B781076,04/11/2019,A845079,Attending,Yes,D19
B781094,04/11/2019,A845098,Cancelled,,D19
B781120,04/11/2019,A845124,Attending,No,D19
B781125,04/11/2019,A845129,Attending,Yes,D19
B781125,04/11/2019,A845130,Attending,Yes,D19
B781136,04/11/2019,A845141,Attending,No,D19
B781182,04/11/2019,A845188,Attending,Yes,D19
B781561,05/11/2019,A845573,Attending,No,D19
B781564,05/11/2019,A845576,Attending,No,D19
B781757,05/11/2019,A845779,Attending,Yes,D19
B781807,05/11/2019,A845833,Attending,Yes,D19
B781823,05/11/2019,A845849,Attending,Yes,D19
B781829,05/11/2019,A845855,Attending,Yes,D19
B781833,05/11/2019,A845859,Cancelled,,D19
B782192,06/11/2019,A846221,Attending,Yes,D19
B782193,06/11/2019,A846222,Attending,Yes,D19
B782197,06/11/2019,A846226,Attending,Yes,D19
B782200,06/11/2019,A846229,Attending,Yes,D19
B782202,06/11/2019,A846231,Attending,Yes,D19
B782203,06/11/2019,A846232,Attending,Yes,D19
B782204,06/11/2019,A846233,Attending,Yes,D19
B782219,06/11/2019,A846249,Attending,Yes,D19
B782221,06/11/2019,A846251,Attending,Yes,D19
B782224,06/11/2019,A846254,Attending,Yes,D19
B782227,06/11/2019,A846257,Attending,Yes,D19
B782228,06/11/2019,A846258,Attending,Yes,D19
B782236,06/11/2019,A846266,Attending,Yes,D19
B782236,06/11/2019,A846267,Cancelled,,D19
B782236,06/11/2019,A846268,Attending,Yes,D19
B782236,06/11/2019,A846269,Attending,Yes,D19
B782236,06/11/2019,A846270,Attending,Yes,D19
B782236,06/11/2019,A846271,Attending,Yes,D19
B782236,06/11/2019,A846272,Attending,Yes,D19
B782245,06/11/2019,A846281,Attending,Yes,D19
B782252,06/11/2019,A846288,Attending,Yes,D19
B782256,06/11/2019,A846292,Attending,No,D19
B782257,06/11/2019,A846293,Attending,Yes,D19
B782261,06/11/2019,A846297,Cancelled,,D19
B782265,06/11/2019,A846301,Attending,Yes,D19
B782265,06/11/2019,A846302,Attending,Yes,D19
B782275,06/11/2019,A846312,Attending,Yes,D19
B782290,06/11/2019,A846327,Attending,Yes,D19
B782292,06/11/2019,A846329,Attending,Yes,D19
B782298,06/11/2019,A846336,Attending,Yes,D19
B782343,06/11/2019,A846386,Attending,Yes,D19
B782349,06/11/2019,A846392,Attending,Yes,D19
B782412,06/11/2019,A846455,Attending,Yes,D19
B782450,06/11/2019,A846493,Attending,Yes,D19
B782450,06/11/2019,A846494,Attending,Yes,D19
B782452,06/11/2019,A846496,Attending,Yes,D19
B782452,06/11/2019,A846497,Attending,Yes,D19
B782456,06/11/2019,A846502,Attending,Yes,D19
B782456,06/11/2019,A846503,Attending,Yes,D19
B782461,06/11/2019,A846508,Attending,Yes,D19
B782461,06/11/2019,A846509,Attending,Yes,D19
B782467,06/11/2019,A846515,Attending,Yes,D19
B782467,06/11/2019,A846516,Attending,Yes,D19
B782467,06/11/2019,A846517,Attending,Yes,D19
B782467,12/11/2019,A851580,Attending,Yes,D19
B782468,06/11/2019,A846518,Attending,Yes,D19
B782468,06/11/2019,A846519,Attending,Yes,D19
B782478,06/11/2019,A846529,Attending,Yes,D19
B782478,06/11/2019,A846530,Attending,Yes,D19
B782480,06/11/2019,A846532,Attending,Yes,D19
B782480,06/11/2019,A846533,Attending,Yes,D19
B782794,07/11/2019,A846853,Attending,Yes,D19
B782795,07/11/2019,A846854,Attending,Yes,D19
B782834,07/11/2019,A846894,Attending,Yes,D19
B782834,07/11/2019,A846895,Attending,Yes,D19
B782834,07/11/2019,A846896,Attending,Yes,D19
B782834,07/11/2019,A846897,Attending,Yes,D19
B782843,07/11/2019,A846907,Attending,No,D19
B782846,07/11/2019,A846910,Attending,Yes,D19
B782850,07/11/2019,A846914,Attending,Yes,D19
B782902,07/11/2019,A846969,Attending,Yes,D19
B783161,08/11/2019,A847229,Attending,Yes,D19
B783162,08/11/2019,A847230,Attending,Yes,D19
B783165,08/11/2019,A847233,Attending,Yes,D19
B783171,08/11/2019,A847239,Attending,Yes,D19
B783172,08/11/2019,A847240,Attending,Yes,D19
B783173,08/11/2019,A847241,Attending,Yes,D19
B783175,08/11/2019,A847243,Attending,Yes,D19
B783177,08/11/2019,A847245,Attending,Yes,D19
B783179,08/11/2019,A847247,Attending,Yes,D19
B783180,08/11/2019,A847248,Attending,Yes,D19
B783181,08/11/2019,A847249,Attending,Yes,D19
B783182,08/11/2019,A847250,Attending,Yes,D19
B783183,08/11/2019,A847251,Attending,Yes,D19
B783191,08/11/2019,A847259,Attending,Yes,D19
B783192,08/11/2019,A847260,Attending,Yes,D19
B783221,08/11/2019,A847290,Attending,Yes,D19
B783223,08/11/2019,A847292,Attending,Yes,D19
B783224,08/11/2019,A847293,Attending,Yes,D19
B783226,08/11/2019,A847295,Attending,Yes,D19
B783229,08/11/2019,A847298,Attending,Yes,D19
B783238,08/11/2019,A847307,Attending,Yes,D19
B783241,08/11/2019,A847310,Attending,Yes,D19
B783242,08/11/2019,A847311,Attending,Yes,D19
B783243,08/11/2019,A847312,Attending,Yes,D19
B783249,08/11/2019,A847318,Attending,Yes,D19
B783249,08/11/2019,A847319,Attending,Yes,D19
B783249,08/11/2019,A847320,Attending,Yes,D19
B783249,08/11/2019,A847321,Attending,Yes,D19
B783257,08/11/2019,A847329,Attending,Yes,D19
B783257,08/11/2019,A847330,Attending,Yes,D19
B783257,08/11/2019,A847331,Attending,Yes,D19
B783267,08/11/2019,A847342,Attending,Yes,D19
B783267,08/11/2019,A847343,Attending,Yes,D19
B783267,08/11/2019,A847344,Attending,Yes,D19
B783267,08/11/2019,A847345,Attending,Yes,D19
B783267,08/11/2019,A847346,Attending,Yes,D19
B783288,08/11/2019,A847370,Attending,Yes,D19
B783288,08/11/2019,A847371,Attending,Yes,D19
B783288,08/11/2019,A847372,Attending,Yes,D19
B783288,08/11/2019,A847373,Cancelled,,D19
B783288,08/11/2019,A847380,Attending,Yes,D19
B783361,08/11/2019,A847447,Attending,Yes,D19
B783369,08/11/2019,A847457,Attending,Yes,D19
B783369,08/11/2019,A847458,Attending,Yes,D19
B783369,08/11/2019,A847459,Attending,Yes,D19
B783369,08/11/2019,A847460,Attending,Yes,D19
B783377,08/11/2019,A847468,Attending,Yes,D19
B783382,08/11/2019,A847473,Attending,Yes,D19
B783386,08/11/2019,A847477,Attending,Yes,D19
B784877,11/11/2019,A848971,Attending,Yes,D19
B784880,11/11/2019,A848974,Attending,Yes,D19
B784880,11/11/2019,A848975,Attending,Yes,D19
B784880,11/11/2019,A848976,Attending,Yes,D19
B784880,11/11/2019,A848977,Attending,Yes,D19
B784880,11/11/2019,A848978,Attending,Yes,D19
B784888,11/11/2019,A848986,Attending,Yes,D19
B784894,11/11/2019,A848992,Attending,No,D19
B784963,11/11/2019,A849066,Attending,Yes,D19
B784983,11/11/2019,A849086,Attending,Yes,D19
B784988,11/11/2019,A849091,Attending,Yes,D19
B784992,11/11/2019,A849095,Attending,Yes,D19
B785005,11/11/2019,A849109,Attending,Yes,D19
B785007,11/11/2019,A849111,Attending,Yes,D19
B785009,11/11/2019,A849113,Attending,Yes,D19
B785017,11/11/2019,A849121,Attending,Yes,D19
B785053,11/11/2019,A849157,Attending,Yes,D19
B787000,12/11/2019,A851108,Attending,Yes,D19
B787000,12/11/2019,A851109,Attending,Yes,D19
B787003,12/11/2019,A851112,Attending,Yes,D19
B787159,12/11/2019,A851270,Attending,Yes,D19
B787178,12/11/2019,A851290,Attending,Yes,D19
B787213,12/11/2019,A851325,Attending,Yes,D19
B787226,12/11/2019,A851338,Attending,Yes,D19
B787226,12/11/2019,A851339,Attending,Yes,D19
B787226,12/11/2019,A851340,Attending,Yes,D19
B787226,12/11/2019,A851341,Attending,Yes,D19
B787226,12/11/2019,A851342,Attending,Yes,D19
B787233,12/11/2019,A851349,Attending,No,D19
B787352,12/11/2019,A851468,Attending,Yes,D19
B787365,12/11/2019,A851481,Attending,Yes,D19
B787441,12/11/2019,A851557,Attending,Yes,D19
B787441,12/11/2019,A851558,Attending,Yes,D19
B787441,12/11/2019,A851559,Attending,Yes,D19
B787453,12/11/2019,A851571,Attending,Yes,D19
B787453,12/11/2019,A851572,Attending,Yes,D19
B787453,12/11/2019,A851573,Attending,Yes,D19
B787453,12/11/2019,A851574,Attending,Yes,D19
B787458,12/11/2019,A851579,Attending,Yes,D19
B787462,12/11/2019,A851584,Attending,Yes,D19
B787466,12/11/2019,A851588,Attending,Yes,D19
B787466,12/11/2019,A851589,Attending,Yes,D19
B787471,12/11/2019,A851594,Attending,Yes,D19
B787471,12/11/2019,A851595,Attending,Yes,D19
B787471,15/11/2019,A854250,Attending,Yes,D19
B787478,12/11/2019,A851602,Attending,Yes,D19
B787478,12/11/2019,A851603,Attending,Yes,D19
B787478,12/11/2019,A851604,Attending,Yes,D19
B787491,12/11/2019,A851617,Attending,Yes,D19
B787491,12/11/2019,A851618,Attending,Yes,D19
B787491,12/11/2019,A851619,Attending,Yes,D19
B787491,12/11/2019,A851620,Attending,Yes,D19
B787491,12/11/2019,A851621,Attending,Yes,D19
B787491,12/11/2019,A851622,Attending,Yes,D19
B787491,12/11/2019,A851623,Attending,Yes,D19
B787503,12/11/2019,A851635,Attending,Yes,D19
B787503,12/11/2019,A851636,Attending,Yes,D19
B787503,12/11/2019,A851637,Attending,Yes,D19
B787503,12/11/2019,A851638,Attending,Yes,D19
B787503,12/11/2019,A851639,Attending,Yes,D19
B787507,12/11/2019,A851643,Attending,Yes,D19
B787510,12/11/2019,A851646,Attending,Yes,D19
B787510,12/11/2019,A851647,Attending,Yes,D19
B787510,12/11/2019,A851648,Attending,Yes,D19
B787518,12/11/2019,A851656,Attending,Yes,D19
B787518,12/11/2019,A851657,Attending,Yes,D19
B787518,12/11/2019,A851658,Attending,Yes,D19
B787518,12/11/2019,A851659,Attending,Yes,D19
B787527,12/11/2019,A851668,Attending,Yes,D19
B787527,12/11/2019,A851669,Attending,Yes,D19
B787527,12/11/2019,A851670,Attending,Yes,D19
B787527,12/11/2019,A851671,Attending,Yes,D19
B787527,12/11/2019,A851672,Attending,Yes,D19
B787527,12/11/2019,A851673,Attending,Yes,D19
B787527,12/11/2019,A851674,Attending,Yes,D19
B787527,12/11/2019,A851675,Attending,Yes,D19
B787528,12/11/2019,A851676,Cancelled,,D19
B787528,12/11/2019,A851677,Attending,Yes,D19
B787528,12/11/2019,A851678,Attending,Yes,D19
B787528,12/11/2019,A851679,Attending,Yes,D19
B787528,12/11/2019,A851680,Attending,Yes,D19
B787528,12/11/2019,A851681,Attending,Yes,D19
B787528,12/11/2019,A851682,Cancelled,,D19
B787528,12/11/2019,A851683,Attending,Yes,D19
B787528,12/11/2019,A851684,Attending,Yes,D19
B787528,12/11/2019,A851685,Attending,Yes,D19
B787528,12/11/2019,A851686,Attending,Yes,D19
B787528,12/11/2019,A851687,Attending,Yes,D19
B787528,12/11/2019,A851688,Attending,Yes,D19
B787528,12/11/2019,A851689,Attending,Yes,D19
B787528,12/11/2019,A851690,Attending,Yes,D19
B787528,13/11/2019,A852574,Attending,Yes,D19
B787530,12/11/2019,A851692,Attending,Yes,D19
B787531,12/11/2019,A851693,Attending,Yes,D19
B787569,12/11/2019,A851731,Attending,Yes,D19
B787569,12/11/2019,A851732,Attending,Yes,D19
B787569,12/11/2019,A851733,Attending,Yes,D19
B787569,15/11/2019,A854253,Attending,Yes,D19
B788167,13/11/2019,A852339,Attending,Yes,D19
B788170,13/11/2019,A852343,Attending,Yes,D19
B788176,13/11/2019,A852349,Attending,Yes,D19
B788181,13/11/2019,A852354,Attending,Yes,D19
B788186,13/11/2019,A852359,Attending,Yes,D19
B788194,13/11/2019,A852367,Attending,Yes,D19
B788194,13/11/2019,A852368,Attending,Yes,D19
B788194,13/11/2019,A852369,Attending,Yes,D19
B788197,13/11/2019,A852372,Attending,Yes,D19
B788198,13/11/2019,A852373,Attending,Yes,D19
B788198,13/11/2019,A852374,Attending,Yes,D19
B788200,13/11/2019,A852376,Attending,Yes,D19
B788200,13/11/2019,A852377,Attending,Yes,D19
B788201,13/11/2019,A852378,Attending,Yes,D19
B788201,13/11/2019,A852379,Attending,Yes,D19
B788205,13/11/2019,A852383,Attending,Yes,D19
B788205,13/11/2019,A852384,Attending,Yes,D19
B788206,13/11/2019,A852385,Attending,Yes,D19
B788206,13/11/2019,A852386,Attending,Yes,D19
B788208,13/11/2019,A852388,Attending,Yes,D19
B788208,13/11/2019,A852389,Attending,Yes,D19
B788211,13/11/2019,A852393,Attending,Yes,D19
B788211,13/11/2019,A852394,Attending,Yes,D19
B788213,13/11/2019,A852396,Attending,Yes,D19
B788213,13/11/2019,A852397,Cancelled,,D19
B788213,13/11/2019,A852398,Attending,Yes,D19
B788213,13/11/2019,A852399,Attending,Yes,D19
B788213,13/11/2019,A852400,Attending,Yes,D19
B788214,13/11/2019,A852401,Attending,Yes,D19
B788214,13/11/2019,A852402,Attending,Yes,D19
B788217,13/11/2019,A852405,Attending,Yes,D19
B788217,13/11/2019,A852408,Attending,Yes,D19
B788218,13/11/2019,A852406,Attending,Yes,D19
B788219,13/11/2019,A852407,Attending,Yes,D19
B788222,13/11/2019,A852411,Attending,Yes,D19
B788222,13/11/2019,A852412,Attending,Yes,D19
B788225,13/11/2019,A852416,Attending,Yes,D19
B788225,13/11/2019,A852417,Attending,Yes,D19
B788228,13/11/2019,A852420,Attending,Yes,D19
B788228,13/11/2019,A852421,Attending,Yes,D19
B788228,13/11/2019,A852422,Attending,Yes,D19
B788229,13/11/2019,A852423,Attending,Yes,D19
B788229,13/11/2019,A852424,Attending,Yes,D19
B788229,13/11/2019,A852425,Attending,Yes,D19
B788229,13/11/2019,A852426,Cancelled,,D19
B788229,14/11/2019,A853222,Attending,Yes,D19
B788232,13/11/2019,A852429,Attending,Yes,D19
B788235,13/11/2019,A852432,Attending,Yes,D19
B788236,13/11/2019,A852433,Attending,Yes,D19
B788236,13/11/2019,A852434,Attending,Yes,D19
B788236,13/11/2019,A852435,Attending,Yes,D19
B788243,13/11/2019,A852442,Attending,Yes,D19
B788243,13/11/2019,A852443,Attending,Yes,D19
B788243,13/11/2019,A852444,Attending,Yes,D19
B788243,13/11/2019,A852445,Attending,Yes,D19
B788253,13/11/2019,A852455,Attending,Yes,D19
B788253,13/11/2019,A852456,Attending,Yes,D19
