BookingReference,Created Date,Reference,Attendee Status,Attended,Event Code
B931566,27/01/2021,A999465,Attending,,MSE21
B931566,27/01/2021,A999466,Attending,,MSE21
B931582,27/01/2021,A999482,Attending,,MSE21
B931594,27/01/2021,A999494,Attending,,MSE21
B931651,27/01/2021,A999551,Attending,,MSE21
B931758,27/01/2021,A999658,Attending,,MSE21
B931835,27/01/2021,A999735,Attending,,MSE21
B931835,27/01/2021,A999736,Attending,,MSE21
B931844,27/01/2021,A999745,Attending,,MSE21
B931896,27/01/2021,A999797,Attending,,MSE21
B932019,27/01/2021,A999920,Attending,,MSE21
B932121,27/01/2021,A1000022,Attending,,MSE21
B932309,27/01/2021,A1000210,Attending,,MSE21
B932447,28/01/2021,A1000348,Attending,,MSE21
B932752,28/01/2021,A1000657,Attending,,MSE21
B932784,28/01/2021,A1000689,Attending,,MSE21
B932787,28/01/2021,A1000692,Attending,,MSE21
B932946,28/01/2021,A1000851,Attending,,MSE21
B933212,29/01/2021,A1001117,Attending,,MSE21
B934423,01/02/2021,A1002328,Attending,,MSE21
B934848,02/02/2021,A1002753,Attending,,MSE21
B935120,02/02/2021,A1003027,Attending,,MSE21
B935765,03/02/2021,A1003676,Attending,,MSE21
B936104,04/02/2021,A1004015,Attending,,MSE21
B936311,04/02/2021,A1004224,Attending,,MSE21
B936870,05/02/2021,A1004783,Attending,,MSE21
B936870,05/02/2021,A1004784,Attending,,MSE21
B936889,05/02/2021,A1004803,Attending,,MSE21
B936897,05/02/2021,A1004811,Attending,,MSE21
B936935,05/02/2021,A1004849,Attending,,MSE21
B936936,05/02/2021,A1004850,Attending,,MSE21
B936937,05/02/2021,A1004851,Attending,,MSE21
B936938,05/02/2021,A1004852,Attending,,MSE21
B936940,05/02/2021,A1004854,Attending,,MSE21
B936941,05/02/2021,A1004855,Attending,,MSE21
B936942,05/02/2021,A1004856,Attending,,MSE21
B936944,05/02/2021,A1004858,Attending,,MSE21
B936946,05/02/2021,A1004860,Attending,,MSE21
B936947,05/02/2021,A1004861,Attending,,MSE21
B936949,05/02/2021,A1004863,Attending,,MSE21
