BookingReference,Created Date,Reference,Attendee Status,Attended
B1289455,04/07/2024,A1363888,Attending,Yes
B1289457,04/07/2024,A1363890,Cancelled,
B1289459,04/07/2024,A1363892,Attending,No
B1289460,04/07/2024,A1363893,Attending,Yes
B1289462,04/07/2024,A1363895,Cancelled,
B1289464,04/07/2024,A1363897,Cancelled,
B1289473,04/07/2024,A1363906,Cancelled,
B1289482,04/07/2024,A1363915,Cancelled,
B1289498,05/07/2024,A1363931,Cancelled,
B1289500,05/07/2024,A1363933,Cancelled,
B1289507,05/07/2024,A1363940,Attending,Yes
B1289512,05/07/2024,A1363945,Cancelled,
B1289523,05/07/2024,A1363958,Cancelled,
B1289525,05/07/2024,A1363960,Attending,Yes
B1289536,05/07/2024,A1363972,Attending,Yes
B1289541,05/07/2024,A1363977,Attending,No
B1289590,06/07/2024,A1364029,Cancelled,
B1289599,06/07/2024,A1364038,Attending,Yes
B1289628,07/07/2024,A1364068,Cancelled,
B1289649,08/07/2024,A1364090,Attending,No
B1289656,08/07/2024,A1364097,Cancelled,
B1289659,08/07/2024,A1364100,Attending,Yes
B1289710,08/07/2024,A1364158,Cancelled,
B1289720,09/07/2024,A1364168,Attending,Yes
B1289732,09/07/2024,A1364180,Attending,Yes
B1289736,09/07/2024,A1364184,Attending,Yes
B1289740,09/07/2024,A1364189,Attending,Yes
B1289751,09/07/2024,A1364200,Cancelled,
B1289767,09/07/2024,A1364217,Attending,Yes
B1289791,10/07/2024,A1364242,Attending,Yes
B1289797,10/07/2024,A1364248,Attending,Yes
B1289815,10/07/2024,A1364266,Cancelled,
B1290068,12/07/2024,A1364533,Attending,Yes
B1290227,15/07/2024,A1364695,Attending,Yes
B1290228,15/07/2024,A1364696,Cancelled,
B1290243,15/07/2024,A1364714,Attending,Yes
B1290346,16/07/2024,A1364820,Attending,Yes
B1290369,16/07/2024,A1364844,Attending,No
B1290434,17/07/2024,A1364917,Cancelled,
B1290449,17/07/2024,A1364932,Attending,Yes
B1290450,17/07/2024,A1364933,Attending,Yes
B1290451,17/07/2024,A1364934,Attending,Yes
B1290588,19/07/2024,A1365082,Attending,Yes
B1290619,19/07/2024,A1365116,Cancelled,
B1290626,19/07/2024,A1365123,Attending,Yes
B1290632,19/07/2024,A1365129,Attending,Yes
B1290733,22/07/2024,A1365234,Attending,Yes
B1290744,22/07/2024,A1365245,Attending,Yes
B1290772,23/07/2024,A1365273,Attending,Yes
B1290776,23/07/2024,A1365277,Attending,Yes
B1290805,24/07/2024,A1365306,Attending,Yes
B1290809,24/07/2024,A1365310,Attending,Yes
B1290819,24/07/2024,A1365320,Attending,Yes
B1290830,24/07/2024,A1365331,Attending,Yes
B1290847,25/07/2024,A1365351,Attending,Yes
B1290848,25/07/2024,A1365352,Attending,Yes
B1290849,25/07/2024,A1365353,Attending,Yes
B1290914,26/07/2024,A1365419,Attending,Yes
B1290965,29/07/2024,A1365470,Cancelled,
B1290966,29/07/2024,A1365471,Cancelled,
B1290967,29/07/2024,A1365472,Attending,Yes
B1290968,29/07/2024,A1365473,Attending,Yes
B1290969,29/07/2024,A1365474,Attending,Yes
B1290971,29/07/2024,A1365476,Attending,Yes
B1290973,29/07/2024,A1365478,Attending,Yes
B1290973,29/07/2024,A1365479,Attending,Yes
B1290973,29/07/2024,A1365480,Attending,Yes
B1290973,29/07/2024,A1365481,Attending,Yes
B1290993,29/07/2024,A1365501,Attending,Yes
B1290994,29/07/2024,A1365502,Attending,Yes
B1290995,29/07/2024,A1365503,Attending,Yes
B1290996,29/07/2024,A1365504,Attending,Yes
B1290998,29/07/2024,A1365506,Attending,Yes
B1290999,29/07/2024,A1365507,Attending,Yes
B1291001,29/07/2024,A1365509,Attending,Yes
B1291003,29/07/2024,A1365511,Attending,Yes
B1291004,29/07/2024,A1365512,Attending,Yes
B1291005,29/07/2024,A1365513,Attending,Yes
B1291006,29/07/2024,A1365514,Attending,Yes
B1291008,29/07/2024,A1365516,Attending,Yes
B1291009,29/07/2024,A1365517,Attending,No
B1291010,29/07/2024,A1365518,Attending,Yes
B1291011,29/07/2024,A1365519,Attending,Yes
B1291012,29/07/2024,A1365520,Attending,Yes
B1291015,29/07/2024,A1365523,Attending,Yes
B1291110,31/07/2024,A1365637,Attending,No
B1291111,31/07/2024,A1365638,Attending,Yes
B1291168,02/08/2024,A1365698,Attending,Yes
B1291175,02/08/2024,A1365705,Attending,Yes
B1291291,05/08/2024,A1365824,Cancelled,
B1291292,05/08/2024,A1365825,Attending,Yes
B1291297,05/08/2024,A1365830,Cancelled,
B1291317,06/08/2024,A1365850,Cancelled,
B1291318,06/08/2024,A1365851,Attending,Yes
B1291319,06/08/2024,A1365852,Attending,Yes
B1291321,06/08/2024,A1365854,Attending,Yes
B1291375,07/08/2024,A1365909,Attending,Yes
B1291377,07/08/2024,A1365911,Attending,Yes
B1291441,08/08/2024,A1365978,Attending,Yes
B1291564,09/08/2024,A1366105,Cancelled,
B1291568,09/08/2024,A1366109,Cancelled,
B1291721,12/08/2024,A1366264,Attending,Yes
B1291887,14/08/2024,A1366442,Attending,Yes
B1291888,14/08/2024,A1366443,Attending,Yes
B1291889,14/08/2024,A1366444,Attending,Yes
B1291890,14/08/2024,A1366445,Attending,Yes
B1291891,14/08/2024,A1366446,Attending,Yes
B1291892,14/08/2024,A1366447,Attending,Yes
B1291893,14/08/2024,A1366448,Attending,Yes
B1292010,15/08/2024,A1366571,Attending,Yes
B1292011,15/08/2024,A1366572,Attending,Yes
B1292084,16/08/2024,A1366649,Attending,Yes
B1292357,20/08/2024,A1366927,Cancelled,
B1292534,22/08/2024,A1367106,Attending,Yes
